,Austria,,Belgium,,Bulgaria,,Cyprus,,Czech Rep,,Denmark,,Finland,,France,,Germany,,Greece,,Hungary,,Ireland,,Italy,,Netherlands,,Poland,,Portugal,,Romania,,Slovenia,,Spain,,Sweden,,United Kingdom (all),,Iceland,,Norway,,Croatia,,Turkey,,Switzerland,
,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%
001,1,4.5,1,8.3,,0.0,,0.0,,0.0,,0.0,2,10.5,4,17.4,10,43.5,,0.0,2,8.3,,0.0,1,3.4,7,33.3,,0.0,1,9.1,,0.0,,0.0,4,14.8,,0.0,4,9.1,2,40.0,1,7.7,1,50.0,,0.0,,0.0
002,1,4.5,2,16.7,,0.0,,0.0,,0.0,,0.0,4,21.1,,0.0,,0.0,,0.0,,0.0,1,5.6,,0.0,,0.0,1,6.3,,0.0,,0.0,,0.0,2,7.4,4,14.3,2,4.5,,0.0,,0.0,,0.0,,0.0,1,9.1
012,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,4.3,12,33.3,6,25.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,4,14.3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
014/020,1,4.5,4,33.3,,0.0,,0.0,,0.0,2,12.5,4,21.1,5,21.7,1,4.3,4,11.1,7,29.2,3,16.7,1,3.4,2,9.5,3,18.8,1,9.1,,0.0,3,50.0,8,29.6,6,21.4,1,2.3,,0.0,5,38.5,,0.0,3,100.0,1,9.1
015,2,9.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,4.3,1,4.3,,0.0,,0.0,1,5.6,1,3.4,2,9.5,,0.0,,0.0,,0.0,,0.0,1,3.7,1,3.6,2,4.5,,0.0,,0.0,,0.0,,0.0,,0.0
017,,0.0,,0.0,,0.0,,0.0,3,50.0,,0.0,,0.0,,0.0,,0.0,4,11.1,,0.0,1,5.6,,0.0,2,9.5,3,18.8,1,9.1,1,100.0,1,16.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
018,1,4.5,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,19,65.5,,0.0,,0.0,,0.0,,0.0,,0.0,2,7.4,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
023,,0.0,,0.0,,0.0,,0.0,,0.0,2,12.5,1,5.3,1,4.3,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,9.1,,0.0,,0.0,,0.0,1,3.6,,0.0,,0.0,1,7.7,,0.0,,0.0,,0.0
027,,0.0,,0.0,,0.0,,0.0,2,33.3,,0.0,2,10.5,1,4.3,,0.0,,0.0,,0.0,3,16.7,,0.0,,0.0,1,6.3,,0.0,,0.0,,0.0,,0.0,,0.0,12,27.3,,0.0,,0.0,,0.0,,0.0,1,9.1
078,1,4.5,2,16.7,1,33.3,,0.0,,0.0,1,6.3,,0.0,1,4.3,2,8.7,4,11.1,1,4.2,3,16.7,1,3.4,2,9.5,,0.0,3,27.3,,0.0,1,16.7,2,7.4,,0.0,2,4.5,1,20.0,2,15.4,,0.0,,0.0,2,18.2
106,2,9.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,5,27.8,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,2,7.4,,0.0,13,29.5,,0.0,,0.0,,0.0,,0.0,,0.0
126,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6,16.7,,0.0,,0.0,2,6.9,,0.0,,0.0,1,9.1,,0.0,,0.0,4,14.8,1,3.6,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Other,13,59.1,3,25.0,2,66.7,1,100.0,1,16.7,11,68.8,6,31.6,10,43.5,8,34.8,6,16.7,8,33.3,1,5.6,4,13.8,6,28.6,8,50.0,3,27.3,,0.0,1,16.7,2,7.4,11,39.3,8,18.2,2,40.0,4,30.8,1,50.0,,0.0,6,54.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
